valid_time,wind_speed,t2m_c,sshf,net_radiation,e,number,expver
1984-12-01 06:00:00,3.999186,24.576586,-1.4444898e+06,5.4179132e+07,-0.0039699785,0,0001
1985-01-01 00:00:00,3.845932,24.747183,-1.4866539e+06,5.4862596e+07,-0.0037639097,0,0001
1985-01-01 06:00:00,3.8476338,24.750996,-1.4869966e+06,5.486815e+07,-0.0037622342,0,0001
1985-02-01 00:00:00,4.0569534,25.220041,-1.5785809e+06,5.5028284e+07,-0.00397866,0,0001
1985-02-01 06:00:00,4.0496774,25.229143,-1.5793255e+06,5.5029584e+07,-0.0039804196,0,0001
1985-03-01 00:00:00,3.2420356,26.239347,-1.7322334e+06,5.7187524e+07,-0.0035092612,0,0001
1985-03-01 06:00:00,3.2446644,26.244297,-1.7336109e+06,5.7206964e+07,-0.0035050164,0,0001
1985-04-01 00:00:00,3.5679996,26.85311,-1.8711171e+06,5.672271e+07,-0.0038691668,0,0001
1985-04-01 06:00:00,3.5747595,26.853544,-1.872235e+06,5.6718776e+07,-0.0038721275,0,0001
1985-05-01 00:00:00,4.379175,26.90538,-1.7942055e+06,5.4671804e+07,-0.0042020525,0,0001
1985-05-01 06:00:00,4.3908725,26.8983,-1.7935498e+06,5.4654604e+07,-0.004204825,0,0001
1985-06-01 00:00:00,5.8296356,26.027378,-1.5580711e+06,5.2754572e+07,-0.0046938495,0,0001
1985-06-01 06:00:00,5.832696,26.022133,-1.5561566e+06,5.2739124e+07,-0.0046978253,0,0001
1985-07-01 00:00:00,6.1968613,25.39801,-1.4447738e+06,5.227982e+07,-0.004489104,0,0001
1985-07-01 06:00:00,6.2008843,25.396431,-1.4438378e+06,5.227596e+07,-0.0044873497,0,0001
1985-08-01 00:00:00,6.6957145,25.202188,-1.3798709e+06,5.3049932e+07,-0.0045330077,0,0001
1985-08-01 06:00:00,6.685579,25.201822,-1.3793509e+06,5.3056224e+07,-0.004533379,0,0001
1985-09-01 00:00:00,5.438898,25.15683,-1.4263572e+06,5.4590612e+07,-0.0040439465,0,0001
1985-09-01 06:00:00,5.4288306,25.154749,-1.4267394e+06,5.460309e+07,-0.0040399674,0,0001
1985-10-01 00:00:00,4.23083,24.907135,-1.3811724e+06,5.5075244e+07,-0.0039675613,0,0001
1985-10-01 06:00:00,4.226642,24.905499,-1.3807895e+06,5.5079212e+07,-0.0039669527,0,0001
1985-11-01 00:00:00,3.7115016,24.704176,-1.3424956e+06,5.451922e+07,-0.003642004,0,0001
1985-11-01 06:00:00,3.7129805,24.701914,-1.3421842e+06,5.4514668e+07,-0.003639362,0,0001
1985-12-01 00:00:00,3.8889618,24.432772,-1.414611e+06,5.4339732e+07,-0.0038008282,0,0001
1985-12-01 06:00:00,3.8917427,24.431969,-1.4152196e+06,5.433826e+07,-0.0038021852,0,0001
1986-01-01 00:00:00,4.2337823,24.333147,-1.5136914e+06,5.4122764e+07,-0.004006309,0,0001
1986-01-01 06:00:00,4.2272143,24.338974,-1.514492e+06,5.4121012e+07,-0.0040079686,0,0001
1986-02-01 00:00:00,3.4193494,25.055592,-1.5943914e+06,5.5920852e+07,-0.0036191961,0,0001
1986-02-01 06:00:00,3.4194796,25.0642,-1.595041e+06,5.5935484e+07,-0.0036160355,0,0001
1986-03-01 00:00:00,3.4339306,26.019726,-1.7812052e+06,5.642808e+07,-0.0036120603,0,0001
1986-03-01 06:00:00,3.4353185,26.026413,-1.7828824e+06,5.6432516e+07,-0.0036120245,0,0001
1986-04-01 00:00:00,3.6060295,26.849005,-1.7916506e+06,5.676828e+07,-0.003551336,0,0001
1986-04-01 06:00:00,3.6150434,26.850084,-1.7917219e+06,5.677101e+07,-0.0035508426,0,0001
1986-05-01 00:00:00,4.6876826,26.978632,-1.8477949e+06,5.509242e+07,-0.0043481663,0,0001
1986-05-01 06:00:00,4.6975684,26.972939,-1.8482661e+06,5.5078316e+07,-0.0043548667,0,0001
1986-06-01 00:00:00,5.9135094,26.27258,-1.5694851e+06,5.257232e+07,-0.00472719,0,0001
1986-06-01 06:00:00,5.916757,26.26564,-1.5672186e+06,5.2551948e+07,-0.0047302167,0,0001
1986-07-01 00:00:00,6.303254,25.43999,-1.3768479e+06,5.2302136e+07,-0.004382647,0,0001
1986-07-01 06:00:00,6.304488,25.437336,-1.3752481e+06,5.2300036e+07,-0.0043797265,0,0001
1986-08-01 00:00:00,6.4562864,25.110886,-1.3783089e+06,5.32664e+07,-0.004424109,0,0001
1986-08-01 06:00:00,6.446766,25.110443,-1.3783338e+06,5.3274256e+07,-0.00442447,0,0001
1986-09-01 00:00:00,5.275759,25.056074,-1.4226594e+06,5.480899e+07,-0.003984318,0,0001
1986-09-01 06:00:00,5.262102,25.057167,-1.4230198e+06,5.4821468e+07,-0.0039807395,0,0001
1986-10-01 00:00:00,3.6369052,25.187212,-1.3348676e+06,5.5378244e+07,-0.0035998567,0,0001
1986-10-01 06:00:00,3.6345267,25.185696,-1.3341269e+06,5.5382924e+07,-0.003596656,0,0001
1986-11-01 00:00:00,3.3419762,24.999107,-1.3611715e+06,5.5061012e+07,-0.0037544966,0,0001
1986-11-01 06:00:00,3.349164,24.995615,-1.3613914e+06,5.5058396e+07,-0.00375578,0,0001
1986-12-01 00:00:00,4.204517,24.58011,-1.4129184e+06,5.4122984e+07,-0.0038256373,0,0001
1986-12-01 06:00:00,4.203011,24.580553,-1.4133514e+06,5.4115124e+07,-0.0038262242,0,0001
1987-01-01 00:00:00,4.017802,24.635098,-1.4972386e+06,5.4333364e+07,-0.0039401106,0,0001
1987-01-01 06:00:00,4.0126467,24.640114,-1.4979206e+06,5.433514e+07,-0.0039410363,0,0001
1987-02-01 00:00:00,3.3785963,25.257189,-1.5732784e+06,5.6145516e+07,-0.0035083015,0,0001
1987-02-01 06:00:00,3.3752742,25.266933,-1.573891e+06,5.6160236e+07,-0.0035047834,0,0001
1987-03-01 00:00:00,3.0065253,26.348501,-1.6816696e+06,5.707641e+07,-0.003348045,0,0001
1987-03-01 06:00:00,3.007525,26.35464,-1.6826406e+06,5.708466e+07,-0.003346633,0,0001
1987-04-01 00:00:00,3.1304874,27.109676,-1.8289611e+06,5.667822e+07,-0.0035453085,0,0001
1987-04-01 06:00:00,3.1351035,27.110844,-1.8301508e+06,5.6674916e+07,-0.0035469236,0,0001
1987-05-01 00:00:00,3.6844242,27.249807,-1.8483402e+06,5.554951e+07,-0.003940553,0,0001
1987-05-01 06:00:00,3.7011144,27.245646,-1.8484931e+06,5.5540056e+07,-0.0039438605,0,0001
1987-06-01 00:00:00,5.7540193,26.733835,-1.6237308e+06,5.2895784e+07,-0.0047842623,0,0001
1987-06-01 06:00:00,5.7565174,26.728317,-1.6219034e+06,5.2874284e+07,-0.004791095,0,0001
1987-07-01 00:00:00,6.0538206,26.071571,-1.464919e+06,5.31079e+07,-0.004476958,0,0001
1987-07-01 06:00:00,6.056609,26.06973,-1.4635998e+06,5.3109864e+07,-0.004474318,0,0001
1987-08-01 00:00:00,6.399585,25.843317,-1.447471e+06,5.3546396e+07,-0.004644159,0,0001
1987-08-01 06:00:00,6.389112,25.84305,-1.4473399e+06,5.3549944e+07,-0.00464554,0,0001
1987-09-01 00:00:00,5.100983,25.81011,-1.3675296e+06,5.522531e+07,-0.0040147207,0,0001
1987-09-01 06:00:00,5.0912848,25.808449,-1.3668808e+06,5.5238932e+07,-0.004009592,0,0001
1987-10-01 00:00:00,3.9371498,25.610697,-1.3613975e+06,5.546609e+07,-0.003950883,0,0001
